Peak	Chromosome	PNRC100	PNRC200	Pique	CSDeconv	Exp. TSS	Motif absent	100>Envelope>1000	ER>1	
Chromosome:1053850	1	0	0	0	1	1	1	1	0	
Chromosome:1060350	1	0	0	0	1	0	0	0	0	
Chromosome:1070350	1	0	0	0	1	0	1	1	0	
Chromosome:1078850	1	0	0	0	1	1	1	1	1	
Chromosome:1080500	1	0	0	0	1	1	1	1	0	
Chromosome:1082450	1	0	0	0	1	1	1	1	1	
Chromosome:1094950	1	0	0	0	1	0	1	1	0	
Chromosome:1105950	1	0	0	0	1	1	1	1	1	
Chromosome:1107850	1	0	0	0	1	1	0	1	1	
Chromosome:1113600	1	0	0	0	1	1	0	1	0	
Chromosome:1127950	1	0	0	0	1	0	1	1	0	
Chromosome:1155550	1	0	0	0	1	0	1	0	0	
Chromosome:1173850	1	0	0	0	1	1	1	1	0	
Chromosome:1197650	1	0	0	0	1	0	1	1	0	
Chromosome:1207100	1	0	0	0	1	1	1	1	0	
Chromosome:1212350	1	0	0	0	1	1	1	1	0	
Chromosome:1218650	1	0	0	0	1	1	0	1	1	
Chromosome:1229050	1	0	0	0	1	0	1	0	0	
Chromosome:1231050	1	0	0	0	1	0	1	1	0	
Chromosome:1242500	1	0	0	0	1	1	1	1	0	
Chromosome:1246250	1	0	0	0	1	1	1	0	1	
Chromosome:1250250	1	0	0	0	1	0	1	1	0	
Chromosome:1251150	1	0	0	0	1	1	0	1	0	
Chromosome:1258050	1	0	0	0	1	0	1	0	0	
Chromosome:1287900	1	0	0	0	1	0	1	1	0	
Chromosome:1296700	1	0	0	0	1	0	1	0	0	
Chromosome:1302350	1	0	0	0	1	1	1	1	0	
Chromosome:1303150	1	0	0	0	1	0	1	1	1	
Chromosome:1316400	1	0	0	0	1	1	1	1	0	
Chromosome:1333600	1	0	0	0	1	0	0	0	0	
Chromosome:1356200	1	0	0	0	1	1	1	1	0	
Chromosome:1360250	1	0	0	0	1	0	1	1	0	
Chromosome:1364200	1	0	0	0	1	0	0	1	0	
Chromosome:1375050	1	0	0	0	1	1	1	1	0	
Chromosome:1377950	1	0	0	0	1	1	0	1	0	
Chromosome:1402650	1	0	0	0	1	0	1	1	0	
Chromosome:1410250	1	0	0	0	1	1	0	1	0	
Chromosome:1416950	1	0	0	0	1	0	1	1	1	
Chromosome:1461200	1	0	0	0	1	1	1	1	0	
Chromosome:1478850	1	0	0	0	1	0	1	1	0	
Chromosome:1485550	1	0	0	0	1	0	0	0	0	
Chromosome:1488750	1	0	0	0	1	1	1	1	1	
Chromosome:1491150	1	0	0	0	1	0	1	1	0	
Chromosome:1493350	1	0	0	0	1	0	1	1	0	
Chromosome:1496450	1	0	0	0	1	1	1	1	0	
Chromosome:1499300	1	0	0	0	1	1	1	1	0	
Chromosome:1501250	1	0	0	0	1	0	0	0	0	
Chromosome:1504150	1	0	0	0	1	0	1	1	1	
Chromosome:1508850	1	0	0	0	1	0	1	1	0	
Chromosome:1526250	1	0	0	0	1	1	1	1	1	
Chromosome:1545950	1	0	0	0	1	1	0	1	0	
Chromosome:1551400	1	0	0	0	1	1	0	1	0	
Chromosome:1558350	1	0	0	0	1	0	1	1	1	
Chromosome:1584050	1	0	0	0	1	1	1	1	0	
Chromosome:1586650	1	0	0	0	1	0	1	1	0	
Chromosome:1588700	1	0	0	0	1	1	0	1	0	
Chromosome:1594050	1	0	0	0	1	1	0	1	0	
Chromosome:1609750	1	0	0	0	1	0	1	0	1	
Chromosome:1613750	1	0	0	0	1	1	1	1	0	
Chromosome:1628100	1	0	0	0	1	1	1	1	0	
Chromosome:1666800	1	0	0	0	1	0	0	1	0	
Chromosome:1682950	1	0	0	0	1	0	1	1	0	
Chromosome:1693550	1	0	0	0	1	0	1	1	0	
Chromosome:1710900	1	0	0	0	1	0	0	1	0	
Chromosome:1773850	1	0	0	0	1	1	0	1	0	
Chromosome:1777000	1	0	0	0	1	1	0	1	0	
Chromosome:1807050	1	0	0	0	1	0	1	1	1	
Chromosome:1811200	1	0	0	0	1	0	0	1	0	
Chromosome:1815100	1	0	0	0	1	0	1	1	0	
Chromosome:1821550	1	0	0	0	1	0	1	1	0	
Chromosome:1826800	1	0	0	0	1	0	0	0	0	
Chromosome:1830450	1	0	0	0	1	0	0	1	0	
Chromosome:1863750	1	0	0	0	1	0	1	0	0	
Chromosome:1865200	1	0	0	0	1	0	0	0	0	
Chromosome:1875100	1	0	0	0	1	0	0	0	0	
Chromosome:1877200	1	0	0	0	1	1	1	1	1	
Chromosome:1879050	1	0	0	0	1	0	1	1	1	
Chromosome:1880800	1	0	0	0	1	1	0	1	0	
Chromosome:1882150	1	0	0	0	1	1	0	1	1	
Chromosome:1903050	1	0	0	0	1	0	1	1	0	
Chromosome:1907100	1	0	0	0	1	0	1	0	0	
Chromosome:1917000	1	0	0	0	1	0	0	0	0	
Chromosome:1926650	1	0	0	0	1	0	1	1	0	
Chromosome:1929450	1	0	0	0	1	0	1	1	0	
Chromosome:1933050	1	0	0	0	1	0	1	1	0	
Chromosome:1943600	1	0	0	0	1	1	0	1	0	
Chromosome:1957100	1	0	0	0	1	1	1	1	0	
Chromosome:1960300	1	0	0	0	1	1	1	1	0	
Chromosome:1979100	1	0	0	0	1	1	0	1	0	
Chromosome:1982800	1	0	0	0	1	1	0	1	0	
Chromosome:1991850	1	0	0	0	1	1	1	1	1	
Chromosome:2007750	1	0	0	0	1	1	1	1	1	
Chromosome:2011550	1	0	0	0	1	1	0	1	0	
Chromosome:2013800	1	0	0	0	1	0	1	1	0	
PNRC100:115696	0	1	0	1	1	0	1	1	1	
PNRC100:116942	0	1	0	1	0	0	1	1	1	
PNRC100:147779	0	1	0	1	0	0	1	1	1	
PNRC100:148871	0	1	0	1	0	1	1	1	1	
PNRC100:149239	0	1	0	1	0	0	1	1	1	
PNRC100:116900	0	1	0	0	1	0	1	1	0	
PNRC100:147400	0	1	0	0	1	0	1	0	1	
PNRC100:149100	0	1	0	0	1	0	1	0	0	
PNRC100:158500	0	1	0	0	1	0	1	1	1	
PNRC200:144409	0	0	1	1	1	1	0	1	1	
PNRC200:162549	0	0	1	1	1	1	1	1	1	
PNRC200:166842	0	0	1	1	1	1	0	0	1	
PNRC200:168414	0	0	1	1	1	0	0	1	1	
PNRC200:208848	0	0	1	1	1	0	1	1	1	
PNRC200:212405	0	0	1	1	1	0	1	1	1	
PNRC200:229797	0	0	1	1	1	0	1	1	1	
PNRC200:242139	0	0	1	1	1	0	1	0	1	
PNRC200:248399	0	0	1	1	1	1	1	1	1	
PNRC200:42114	0	0	1	1	1	0	1	1	1	
PNRC200:57959	0	0	1	1	1	1	1	1	1	
PNRC200:92412	0	0	1	1	1	0	0	1	1	
PNRC200:97812	0	0	1	1	1	0	1	1	1	
PNRC200:147391	0	0	1	1	0	0	1	1	1	
PNRC200:159980	0	0	1	1	0	0	1	1	0	
PNRC200:220232	0	0	1	1	0	0	0	1	1	
PNRC200:222709	0	0	1	1	0	0	1	1	1	
PNRC200:223341	0	0	1	1	0	0	0	1	1	
PNRC200:223738	0	0	1	1	0	1	1	1	1	
PNRC200:240903	0	0	1	1	0	1	1	1	1	
PNRC200:243811	0	0	1	1	0	0	1	1	1	
PNRC200:244476	0	0	1	1	0	1	0	1	1	
PNRC200:244773	0	0	1	1	0	0	1	1	1	
PNRC200:245682	0	0	1	1	0	1	1	1	1	
PNRC200:246662	0	0	1	1	0	1	0	1	1	
PNRC200:8985	0	0	1	1	0	0	1	1	1	
PNRC200:20192	0	0	1	1	0	1	1	1	1	
PNRC200:22488	0	0	1	1	0	0	1	1	1	
PNRC200:29480	0	0	1	1	0	0	1	1	1	
PNRC200:71717	0	0	1	1	0	0	1	1	1	
PNRC200:9050	0	0	1	0	1	0	1	0	0	
PNRC200:20250	0	0	1	0	1	1	1	1	1	
PNRC200:22400	0	0	1	0	1	1	1	1	0	
PNRC200:29400	0	0	1	0	1	0	1	0	0	
PNRC200:31850	0	0	1	0	1	0	1	1	0	
PNRC200:35850	0	0	1	0	1	1	0	1	1	
PNRC200:38200	0	0	1	0	1	0	1	1	1	
PNRC200:59950	0	0	1	0	1	1	1	1	1	
PNRC200:64750	0	0	1	0	1	0	1	1	1	
PNRC200:71750	0	0	1	0	1	0	1	0	0	
PNRC200:79750	0	0	1	0	1	1	1	1	1	
PNRC200:81550	0	0	1	0	1	0	1	1	1	
PNRC200:89350	0	0	1	0	1	1	1	1	1	
PNRC200:133250	0	0	1	0	1	0	1	1	0	
PNRC200:137050	0	0	1	0	1	1	1	1	0	
PNRC200:147350	0	0	1	0	1	0	1	1	0	
PNRC200:160650	0	0	1	0	1	0	0	1	1	
PNRC200:181650	0	0	1	0	1	1	1	1	0	
PNRC200:220200	0	0	1	0	1	0	0	1	0	
PNRC200:223200	0	0	1	0	1	0	0	0	0	
PNRC200:228450	0	0	1	0	1	1	1	1	0	
PNRC200:240650	0	0	1	0	1	0	1	0	0	
PNRC200:244700	0	0	1	0	1	0	0	0	0	
PNRC200:246700	0	0	1	0	1	1	0	1	0	
PNRC200:276700	0	0	1	0	1	1	1	1	0	
